STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-02-2018,14.76,7587,2264,0,46,58,33,320,330,25.9,32
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-02-2018,9.84,4107,1563,0,32,36,25,350,360,23,28
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-02-2018,8.95,1101,1592,0.06,37,47,33,190,190,16.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-02-2018,5.82,758,510,0.15,45,52,41,200,230,13,14
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-02-2018,13.42,5955,2029,0.11,51,59,36,330,330,36,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-02-2018,9.62,6952,1472,0.48,35,38,28,310,300,21,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-02-2018,10.74,5230,1059,0.02,37,45,32,330,310,32,40
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-02-2018,8.5,7446,1450,0.01,39,47,30,170,160,16.1,19
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-02-2018,6.93,1630,1872,0,49,64,43,250,230,16.1,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-02-2018,8.95,8463,1772,0.03,51,65,44,330,340,19.9,23
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-02-2018,13.87,255,488,0.11,49,58,37,50,40,23,30
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-02-2018,8.95,2239,379,0.12,38,40,36,100,100,16.1,21
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-02-2018,9.4,3495,146,0.08,45,54,40,40,40,17,21
